date_of_interest,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,BK_CASE_COUNT,BK_HOSPITALIZED_COUNT,BK_DEATH_COUNT,BK_CASE_COUNT_7DAY_AVG,BK_HOSPITALIZED_COUNT_7DAY_AVG,BK_DEATH_COUNT_7DAY_AVG,Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population),Annotation,MTW Status
5/7/2021,715,73,36,225,29,10,251,28,10,,,,Non-matching
5/8/2021,384,63,24,121,25,12,241,28,10,,,,Non-matching
5/9/2021,343,61,26,106,18,9,225,28,9,4400,2172663.8,,Matching
5/10/2021,654,70,28,207,17,9,210,26,10,,,,Non-matching
5/11/2021,628,70,21,216,18,6,198,22,9,3537,1432506.61,,Matching
5/12/2021,594,63,18,196,25,8,191,22,9,,,,Non-matching
5/13/2021,516,65,24,147,22,7,174,22,9,,,,Non-matching
5/14/2021,487,69,28,145,14,9,163,20,9,,,,Non-matching
5/15/2021,292,41,10,94,21,3,159,19,7,,,,Non-matching
5/16/2021,280,40,16,99,19,7,158,19,7,2473,1015163.65,,Matching
5/17/2021,453,72,16,151,22,7,150,20,7,,,,Non-matching
5/18/2021,415,52,14,138,16,5,139,20,7,4286,1735649.2,,Matching
5/19/2021,377,57,14,129,21,7,129,19,6,,,,Non-matching
5/20/2021,397,65,14,134,31,6,127,21,6,,,,Non-matching
5/21/2021,349,52,13,115,11,5,123,20,6,,,,Non-matching
5/22/2021,233,35,17,81,13,5,121,19,6,,,,Non-matching
5/23/2021,187,46,11,63,19,3,116,19,5,1796,677365.16,,Matching
5/24/2021,355,35,10,105,9,6,109,17,5,,,,Non-matching
5/25/2021,305,41,6,102,19,1,104,18,5,1002,411402.42,,Matching
5/26/2021,249,33,4,81,12,0,97,16,4,,,,Non-matching
5/27/2021,257,45,9,62,11,3,87,13,3,,,,Non-matching
5/28/2021,210,35,12,67,16,3,80,14,3,,,,Non-matching
5/29/2021,126,25,9,32,4,3,73,13,3,,,,Non-matching
5/30/2021,118,27,8,34,14,5,69,12,3,652,495195.34,,Matching
5/31/2021,119,17,12,35,2,2,59,11,2,,,,Non-matching
6/1/2021,289,33,12,59,14,8,53,10,3,616,232340.76,,Matching
6/2/2021,244,44,11,70,15,4,51,11,4,,,,Non-matching
6/3/2021,206,29,10,62,15,4,51,11,4,,,,Non-matching
6/4/2021,225,25,7,66,10,2,51,11,4,,,,Non-matching
6/5/2021,143,16,6,44,3,3,53,10,4,,,,Non-matching
6/6/2021,130,24,5,35,8,2,53,10,4,841,340680.54,,Matching
6/7/2021,222,32,6,64,12,0,57,11,3,,,,Non-matching
6/8/2021,176,35,10,55,7,3,57,10,3,1090,816492.77,,Matching
6/9/2021,211,23,9,58,9,5,55,9,3,,,,Non-matching
6/10/2021,156,25,6,46,8,1,53,8,2,,,,Non-matching
6/11/2021,189,24,7,44,6,2,49,8,2,,,,Non-matching
6/12/2021,121,21,5,28,4,1,47,8,2,,,,Non-matching
6/13/2021,115,30,6,35,12,1,47,8,2,1265,512222.01,,Matching
6/14/2021,182,25,7,54,12,4,46,8,2,,,,Non-matching
6/15/2021,179,25,6,37,8,3,43,8,2,582,252048.99,Concentration below Method Limit of Quantification (above Method Limit of Detection),Matching
6/16/2021,173,23,7,46,5,2,41,8,2,,,,Non-matching
6/17/2021,188,29,9,52,9,3,42,8,2,,,,Non-matching
6/18/2021,160,19,8,59,7,3,44,8,2,,,,Non-matching
6/19/2021,107,13,11,29,2,3,45,8,3,,,,Non-matching
6/20/2021,96,25,5,33,10,4,44,8,3,,,Concentration below Method Limit of Detection,Matching
6/21/2021,168,29,3,40,9,0,42,7,3,,,,Non-matching
6/22/2021,171,34,7,50,7,2,44,7,2,4250,1957165.7,,Matching
6/23/2021,187,24,5,48,11,1,44,8,2,,,,Non-matching
6/24/2021,175,14,5,51,8,3,44,8,2,,,,Non-matching
6/25/2021,180,18,5,61,8,2,45,8,2,,,,Non-matching
6/26/2021,118,18,3,37,7,2,46,9,2,,,,Non-matching
6/27/2021,109,22,1,28,6,0,45,8,1,732,292291.38,,Matching
6/28/2021,206,26,6,49,8,1,46,8,2,,,,Non-matching
6/29/2021,213,21,4,53,8,2,47,8,2,1696,649336.78,This sample was analyzed in duplicate. The higher of the 2 results is reported,Matching
6/30/2021,226,21,4,75,7,2,51,7,2,,,,Non-matching
7/1/2021,204,31,4,63,10,2,52,8,2,,,,Non-matching
7/2/2021,232,35,6,60,13,0,52,8,1,,,,Non-matching
7/3/2021,146,21,6,41,5,2,53,8,1,,,,Non-matching
7/4/2021,124,23,3,32,9,2,53,9,2,,,,Non-matching
7/5/2021,187,15,2,62,5,0,55,8,1,,,,Non-matching
7/6/2021,364,24,3,125,8,1,65,8,1,1558,864522.97,,Matching
7/7/2021,402,23,2,147,9,0,76,8,1,,,,Non-matching
7/8/2021,369,24,2,110,8,0,82,8,1,,,,Non-matching
7/9/2021,371,36,2,111,8,1,90,7,1,,,,Non-matching
7/10/2021,238,20,2,63,6,1,93,8,1,,,,Non-matching
7/11/2021,272,27,4,79,6,2,100,7,1,1145,520774.41,,Matching
7/12/2021,477,24,4,176,10,0,116,8,1,,,,Non-matching
7/13/2021,457,26,3,152,7,1,120,8,1,2176,929640.24,,Matching
7/14/2021,549,46,2,185,13,2,125,8,1,,,,Non-matching
7/15/2021,553,28,5,171,9,1,134,8,1,,,,Non-matching
7/16/2021,557,37,5,183,17,0,144,10,1,,,,Non-matching
7/17/2021,340,37,6,109,8,0,151,10,1,,,,Non-matching
7/18/2021,395,38,2,141,19,1,160,12,1,2353,992079.77,,Matching
7/19/2021,813,53,5,276,19,3,174,13,1,,,,Non-matching
7/20/2021,711,53,4,233,21,2,185,15,1,,,No sample delivery due to logistical issue,Matching
7/21/2021,895,46,2,309,13,0,203,15,1,,,,Non-matching
7/22/2021,976,52,3,326,17,0,225,16,1,,,,Non-matching
7/23/2021,918,51,3,319,18,0,245,16,1,,,,Non-matching
7/24/2021,552,41,2,188,13,2,256,17,1,,,,Non-matching
7/25/2021,636,41,4,214,10,0,266,16,1,3097,1666356.68,This sample was analyzed in duplicate. The higher of the 2 results is reported,Matching
7/26/2021,1228,62,1,423,21,0,287,16,1,,,,Non-matching
7/27/2021,1199,71,5,406,23,1,312,16,0,,,Analytical issue,Matching
7/28/2021,1243,76,6,384,15,1,323,17,1,,,,Non-matching
7/29/2021,1290,76,7,444,21,1,340,17,1,,,,Non-matching
7/30/2021,1282,79,9,427,19,4,355,17,1,,,,Non-matching
7/31/2021,850,70,4,263,29,3,366,20,1,,,,Non-matching
8/1/2021,831,48,11,294,17,2,377,21,2,5723,2508113.78,This sample was analyzed in duplicate. The higher of the 2 results is reported,Matching
8/2/2021,1569,74,4,518,25,2,391,21,2,,,,Non-matching
8/3/2021,1585,99,2,489,28,0,403,22,2,7278,3028148.19,,Matching
8/4/2021,1614,88,8,522,38,5,422,25,2,,,,Non-matching
8/5/2021,1528,89,6,517,23,2,433,26,3,,,,Non-matching
8/6/2021,1577,114,12,520,40,5,446,29,3,,,,Non-matching
8/7/2021,1149,87,14,373,28,5,462,28,3,,,,Non-matching
8/8/2021,1072,99,6,321,25,2,466,30,3,15368,6991092.86,,Matching
8/9/2021,1894,129,9,626,45,3,481,32,3,,,,Non-matching
8/10/2021,1667,119,6,536,33,4,488,33,4,20209,7847897.41,,Matching
8/11/2021,1753,136,9,546,40,1,491,33,3,,,,Non-matching
8/12/2021,1758,123,6,578,37,1,500,35,3,,,,Non-matching
8/13/2021,1600,139,9,499,48,3,497,37,3,,,,Non-matching
8/14/2021,1049,92,10,348,29,4,493,37,3,,,,Non-matching
8/15/2021,1145,112,6,422,41,2,508,39,3,10774,4243807.94,,Matching
8/16/2021,1932,131,6,628,44,2,508,39,2,,,,Non-matching
8/17/2021,1745,136,15,595,41,4,517,40,2,5362,2082192.74,,Matching
8/18/2021,1814,109,13,555,34,4,518,39,3,,,,Non-matching
8/19/2021,1694,98,14,543,30,7,513,38,4,,,,Non-matching
8/20/2021,1561,123,6,505,34,3,514,36,4,,,,Non-matching
8/21/2021,1091,115,16,338,34,7,512,37,4,,,,Non-matching
8/22/2021,718,105,10,276,33,5,491,36,5,494,537308.4,Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,Matching
8/23/2021,1953,119,12,642,31,5,493,34,5,,,,Non-matching
8/24/2021,1837,108,11,613,39,3,496,34,5,10019,5780544.57,,Matching
8/25/2021,1787,108,8,570,32,4,498,33,5,,,,Non-matching
8/26/2021,1644,104,13,525,34,4,496,34,4,,,,Non-matching
8/27/2021,1452,108,10,464,36,4,490,34,5,,,,Non-matching
8/28/2021,986,84,14,296,26,7,484,33,5,,,,Non-matching
8/29/2021,990,93,13,343,29,7,493,32,5,2222,1059914.29,,Matching
8/30/2021,1840,120,13,583,37,4,485,33,5,,,,Non-matching
8/31/2021,1623,123,10,531,35,3,473,33,5,4425,2037377.21,,Matching
9/1/2021,1560,125,13,487,32,2,461,33,4,,,,Non-matching
9/2/2021,1432,93,11,478,23,3,455,31,4,,,,Non-matching
9/3/2021,1422,78,8,429,26,3,450,30,4,,,,Non-matching
9/4/2021,905,108,12,255,37,4,444,31,4,,,,Non-matching
9/5/2021,954,74,13,334,25,3,442,31,3,,,,Non-matching
9/6/2021,942,75,17,274,24,6,398,29,3,,,,Non-matching
9/7/2021,1571,111,7,434,33,2,384,29,3,9243,4614921.57,,Matching
9/8/2021,1593,98,21,466,29,9,381,28,4,,,,Non-matching
9/9/2021,1713,100,18,630,27,3,403,29,4,,,,Non-matching
9/10/2021,1548,99,15,504,30,6,414,29,5,,,,Non-matching
9/11/2021,1037,84,15,335,29,8,425,28,5,,,,Non-matching
9/12/2021,1213,88,11,504,30,2,450,29,5,4423,2085545.68,This sample was analyzed in duplicate. The higher of the 2 results is reported,Matching
9/13/2021,1739,104,12,633,35,4,501,30,5,,,,Non-matching
9/14/2021,1642,81,9,609,30,6,526,30,5,507,222168.55,Concentration below Method Limit of Quantification (above Method Limit of Detection),Matching
9/15/2021,1612,95,10,550,36,5,538,31,5,,,,Non-matching
9/16/2021,1387,83,11,451,20,2,512,30,5,,,,Non-matching
9/17/2021,1524,89,11,559,28,6,520,30,5,,,,Non-matching
9/18/2021,956,87,10,357,30,1,523,30,4,,,,Non-matching
9/19/2021,1057,69,16,464,25,9,518,29,5,4158,1799036.89,,Matching
9/20/2021,1642,99,16,545,28,7,505,28,5,,,,Non-matching
9/21/2021,1302,85,13,397,25,4,475,27,5,5887,2514814.92,,Matching
9/22/2021,1415,97,13,509,35,6,469,27,5,,,,Non-matching
9/23/2021,1292,99,12,513,42,2,478,30,5,,,,Non-matching
9/24/2021,1222,80,8,452,35,2,462,31,4,,,,Non-matching
9/25/2021,814,69,15,309,25,5,456,31,5,,,,Non-matching
9/26/2021,856,55,15,333,21,5,437,30,4,3593,1554907.49,,Matching
9/27/2021,1391,75,17,518,29,4,433,30,4,,,,Non-matching
9/28/2021,1118,66,13,355,20,5,427,30,4,4222,1944235.66,,Matching
9/29/2021,1097,64,13,369,24,3,407,28,4,,,,Non-matching
9/30/2021,1139,64,8,455,22,3,399,25,4,,,,Non-matching
10/1/2021,1087,81,8,408,29,2,392,24,4,,,,Non-matching
10/2/2021,681,63,12,280,18,4,388,23,4,,,,Non-matching
10/3/2021,907,63,12,458,28,4,406,24,4,8527,3500651.21,This sample was analyzed in duplicate. The higher of the 2 results is reported,Matching
10/4/2021,1271,78,12,512,30,3,405,24,3,,,,Non-matching
10/5/2021,1270,72,6,506,29,1,427,26,3,4858,2021379.48,,Matching
10/6/2021,1147,63,15,487,13,6,444,24,3,,,,Non-matching
10/7/2021,1080,62,13,406,13,2,437,23,3,,,,Non-matching
10/8/2021,1013,45,15,451,15,7,443,21,4,,,,Non-matching
10/9/2021,612,68,8,250,26,3,439,22,4,,,,Non-matching
10/10/2021,688,51,16,308,20,5,417,21,4,,,,Non-matching
10/11/2021,935,56,9,363,17,1,396,19,4,,,,Non-matching
10/12/2021,1144,48,3,463,14,1,390,17,4,3722,1631056.37,,Matching
10/13/2021,1111,73,9,410,27,2,379,19,3,,,,Non-matching
10/14/2021,1025,49,8,426,12,2,382,19,3,,,,Non-matching
10/15/2021,886,61,7,322,12,2,363,18,2,,,,Non-matching
10/16/2021,489,56,6,194,20,4,355,17,2,,,,Non-matching
10/17/2021,586,47,9,260,28,3,348,19,2,4378,1700074,,Matching
10/18/2021,874,58,11,364,20,5,348,19,3,,,,Non-matching
10/19/2021,798,50,10,314,17,3,327,19,3,2907,1128843.93,,Matching
10/20/2021,800,52,7,294,19,4,311,18,3,,,,Non-matching
10/21/2021,811,50,13,341,18,3,298,19,3,,,,Non-matching
10/22/2021,696,47,9,263,17,1,290,20,3,,,,Non-matching
10/23/2021,451,42,10,162,15,4,285,19,3,,,,Non-matching
10/24/2021,444,44,14,198,16,4,277,17,3,3623,1427031.92,,Matching
10/25/2021,896,35,9,363,13,5,276,16,3,,,,Non-matching
10/26/2021,597,43,7,238,19,2,266,17,3,1573,1448953.56,,Matching
10/27/2021,758,49,9,288,18,5,265,17,3,,,,Non-matching
10/28/2021,738,38,7,311,11,2,260,16,3,,,,Non-matching
10/29/2021,641,32,4,230,8,0,256,14,3,,,,Non-matching
10/30/2021,400,30,10,158,12,2,255,14,3,,,,Non-matching
10/31/2021,446,31,7,199,8,0,255,13,2,,,,Non-matching
11/1/2021,780,39,4,314,12,2,248,13,2,,,,Non-matching
11/2/2021,806,51,9,302,19,3,257,13,2,2185,994063.38,,Matching
11/3/2021,825,53,6,300,24,1,259,13,1,,,,Non-matching
11/4/2021,906,39,4,349,14,3,265,14,2,,,,Non-matching
11/5/2021,769,34,5,290,13,3,273,15,2,,,,Non-matching
11/6/2021,508,40,11,198,15,2,279,15,2,,,,Non-matching
11/7/2021,542,34,8,205,16,3,280,16,2,2751,1236016.45,,Matching
11/8/2021,1135,43,8,401,15,1,292,17,2,,,,Non-matching
11/9/2021,1037,34,12,358,9,5,300,15,3,,,,Non-matching
11/10/2021,1049,46,6,363,16,2,309,14,3,,,,Non-matching
11/11/2021,875,49,6,346,22,4,309,15,3,,,,Non-matching
11/12/2021,1028,42,14,372,17,6,320,16,3,,,,Non-matching
11/13/2021,614,43,5,241,20,3,327,16,3,,,,Non-matching
11/14/2021,687,39,6,258,17,1,334,17,3,4194,1814884.32,,Matching
11/15/2021,1263,48,9,428,9,3,338,16,3,,,,Non-matching
11/16/2021,1272,42,10,430,8,1,348,16,3,,,,Non-matching
11/17/2021,1329,51,7,432,17,1,358,16,3,,,,Non-matching
11/18/2021,1310,54,8,428,20,3,370,15,3,,,,Non-matching
11/19/2021,1184,51,8,353,18,2,367,16,2,,,,Non-matching
11/20/2021,826,47,10,279,17,3,373,15,2,,,,Non-matching
11/21/2021,840,42,4,293,14,1,378,15,2,4073,1694631.52,,Matching
11/22/2021,1528,56,6,517,15,3,390,16,2,,,,Non-matching
11/23/2021,1381,63,6,482,21,4,398,17,2,,,,Non-matching
11/24/2021,1416,68,12,460,17,6,402,17,3,,,,Non-matching
11/25/2021,531,68,8,189,26,3,368,18,3,,,,Non-matching
11/26/2021,1171,75,9,364,19,2,369,18,3,,,,Non-matching
11/27/2021,972,62,9,302,22,3,372,19,3,,,,Non-matching
11/28/2021,1060,57,9,318,16,1,376,19,3,10493,4249484.86,This sample was analyzed in duplicate. The higher of the 2 results is reported,Matching
11/29/2021,2328,83,10,661,31,5,397,22,3,,,,Non-matching
11/30/2021,2006,90,6,577,22,3,410,22,3,7320,3045804.73,,Matching
12/1/2021,2180,88,16,700,30,7,444,24,3,,,,Non-matching
12/2/2021,2109,89,15,629,34,6,507,25,4,,,,Non-matching
12/3/2021,1893,104,13,579,24,7,538,26,5,,,,Non-matching
12/4/2021,1321,84,10,382,30,4,549,27,5,,,,Non-matching
12/5/2021,1403,104,14,463,31,6,570,29,5,12664,6322843.89,,Matching
12/6/2021,2798,141,8,849,59,3,597,33,5,,,,Non-matching
12/7/2021,2922,133,15,895,39,4,642,35,5,9042,3611524.17,,Matching
12/8/2021,3136,139,7,982,50,1,683,38,4,,,,Non-matching
12/9/2021,3022,140,10,913,40,3,723,39,4,,,,Non-matching
12/10/2021,3088,166,16,983,50,7,781,43,4,,,,Non-matching
12/11/2021,2159,129,8,619,43,1,815,45,4,,,,Non-matching
12/12/2021,2795,138,17,870,46,7,873,47,4,21705,9030759.72,,Matching
12/13/2021,7528,197,21,2390,59,6,1093,47,4,,,,Non-matching
12/14/2021,10872,203,18,3419,65,6,1454,50,4,23593,8900079.31,,Matching
12/15/2021,13167,222,10,4123,74,1,1902,54,4,,,,Non-matching
12/16/2021,13863,333,13,4514,102,4,2417,63,5,,,,Non-matching
12/17/2021,13548,305,23,4275,77,12,2887,67,5,,,,Non-matching
12/18/2021,9948,288,18,3242,100,7,3262,75,6,,,,Non-matching
12/19/2021,10554,343,25,3434,107,12,3628,83,7,30733,11593751.25,,Matching
12/20/2021,27948,419,13,8929,149,9,4562,96,7,,,,Non-matching
12/21/2021,30404,459,11,9443,143,1,5423,107,7,,,,Non-matching
12/22/2021,31397,686,28,9451,195,12,6184,125,8,,,,Non-matching
12/23/2021,31812,687,23,9603,213,5,6911,141,8,,,,Non-matching
12/24/2021,17463,578,40,5570,207,18,7096,159,9,,,,Non-matching
12/25/2021,7794,609,33,2344,203,7,6968,174,9,,,,Non-matching
12/26/2021,22982,745,34,7214,262,11,7508,196,9,93309,35717613.09,,Matching
12/27/2021,51233,968,36,15025,323,10,8379,221,9,,,,Non-matching
12/28/2021,49660,867,38,14192,274,13,9057,240,11,,,,Non-matching
12/29/2021,50478,951,44,14288,297,17,9748,254,12,,,,Non-matching
12/30/2021,47428,1040,35,13477,327,17,10301,270,13,,,,Non-matching
12/31/2021,29113,831,56,8735,295,19,10754,283,13,,,,Non-matching
1/1/2022,12062,877,58,3538,264,17,10924,292,15,,,,Non-matching
1/2/2022,32486,1297,62,10139,369,19,11342,307,16,85083,40120921.8,,Matching
1/3/2022,54925,1130,68,16623,322,25,11570,307,18,,,,Non-matching
1/4/2022,49173,1019,76,13827,282,31,11518,308,21,56296,29357128.97,,Matching
1/5/2022,40218,1132,81,11183,366,23,11075,318,22,,,,Non-matching
1/6/2022,36360,957,93,10463,270,30,10644,310,23,,,,Non-matching
1/7/2022,23200,826,87,6870,265,24,10378,305,24,,,,Non-matching
1/8/2022,16187,762,97,4840,225,41,10564,300,28,,,,Non-matching
1/9/2022,14345,728,122,4689,226,47,9785,279,32,,,,Non-matching
1/10/2022,25022,925,110,7549,260,37,8489,271,33,50768,19433528.04,"Original RT-qPCR failed, RT-qPCR repeated",Matching
1/11/2022,18535,771,131,5551,252,44,7306,266,35,,,,Non-matching
1/12/2022,18433,764,120,5676,236,44,6520,248,38,44315,17209241.19,,Matching
1/13/2022,16092,732,126,5251,216,45,5775,240,40,,,,Non-matching
1/14/2022,13290,687,130,4115,208,40,5382,232,43,,,,Non-matching
1/15/2022,6758,515,100,2233,174,40,5009,225,42,,,,Non-matching
1/16/2022,6893,449,114,2413,133,49,4684,211,43,,,,Non-matching
1/17/2022,9823,542,107,3548,168,30,4112,198,42,16176,9781592.82,This sample was analyzed in duplicate. The higher of the 2 results is reported,Matching
1/18/2022,10919,511,118,3580,149,36,3831,183,41,,,,Non-matching
1/19/2022,9029,438,91,3002,133,28,3449,169,38,20302,7884208.36,,Matching
1/20/2022,7041,463,116,2315,156,35,3029,160,37,,,,Non-matching
1/21/2022,5797,397,107,1778,139,42,2696,150,37,,,,Non-matching
1/22/2022,3631,322,85,1200,95,37,2548,139,37,,,,Non-matching
1/23/2022,3397,281,101,1232,87,37,2379,132,35,,,,Non-matching
1/24/2022,6017,358,111,1997,99,42,2158,123,37,12160,4992200.37,,Matching
1/25/2022,4763,347,101,1604,119,37,1875,118,37,,,,Non-matching
1/26/2022,4199,282,109,1455,85,29,1654,111,37,8395,3350000,,Matching
1/27/2022,3634,277,79,1189,94,26,1494,103,36,,,,Non-matching
1/28/2022,2724,208,96,894,53,30,1367,90,34,,,,Non-matching
1/29/2022,512,139,76,140,48,28,1216,84,33,,,,Non-matching
1/30/2022,1425,144,86,488,52,32,1110,79,32,,,,Non-matching
1/31/2022,3111,210,85,906,72,34,954,75,31,5010,2030000,,Matching
2/1/2022,2239,177,70,757,60,20,833,66,28,,,,Non-matching
2/2/2022,2326,166,92,833,51,31,744,61,29,4987,2410000,,Matching
2/3/2022,2001,139,71,752,57,21,681,56,28,,,,Non-matching
2/4/2022,1538,153,50,495,43,11,624,55,25,,,,Non-matching
2/5/2022,946,116,51,298,33,12,647,53,23,,,,Non-matching
2/6/2022,867,105,53,263,26,21,615,49,21,3214,1690000,,Matching
2/7/2022,1602,104,37,529,33,18,561,43,19,,,,Non-matching
2/8/2022,1514,129,56,528,47,28,528,41,20,3132,1340000,,Matching
2/9/2022,1316,113,50,405,39,14,467,40,18,,,,Non-matching
2/10/2022,1224,88,40,402,34,14,417,36,17,,,,Non-matching
2/11/2022,983,108,43,317,34,11,392,35,17,,,,Non-matching
2/12/2022,635,69,33,214,23,7,380,34,16,,,,Non-matching
2/13/2022,457,57,43,153,11,17,364,32,16,3100,1440000,,Matching
2/14/2022,1016,79,22,357,27,10,339,31,14,,,,Non-matching
2/15/2022,940,71,24,299,28,5,307,28,11,2803,1150000,,Matching
2/16/2022,937,71,31,317,25,10,294,26,11,,,,Non-matching
2/17/2022,832,74,41,268,20,15,275,24,11,,,,Non-matching
2/18/2022,663,61,35,214,13,13,260,21,11,,,,Non-matching
2/19/2022,425,50,31,103,16,10,244,20,11,,,,Non-matching
2/20/2022,382,38,16,115,14,8,239,20,10,,,,Non-matching
2/21/2022,559,39,29,155,7,9,210,18,10,,,,Non-matching
2/22/2022,685,55,12,219,20,4,199,16,10,2130.61,934000,,Matching
2/23/2022,703,42,19,200,9,6,182,14,9,,,,Non-matching
2/24/2022,660,42,18,176,8,6,169,12,8,,,,Non-matching
2/25/2022,539,43,17,184,18,3,165,13,7,,,,Non-matching
2/26/2022,337,30,6,105,9,1,165,12,5,,,,Non-matching
2/27/2022,360,30,19,126,7,4,166,11,5,4612.45,1840000,,Matching
2/28/2022,707,51,6,197,15,1,172,12,4,,,,Non-matching
3/1/2022,611,44,19,181,11,3,167,11,3,597.92,219000,,Matching
3/2/2022,642,41,16,191,13,9,166,12,4,,,,Non-matching
3/3/2022,587,42,8,159,10,4,163,12,4,,,,Non-matching
3/4/2022,461,40,10,139,10,4,157,11,4,,,,Non-matching
3/5/2022,317,26,11,86,5,2,154,10,4,,,,Non-matching
3/6/2022,339,20,8,122,5,2,154,10,4,1306.89,537000,,Matching
3/7/2022,656,23,11,230,6,3,158,9,4,,,,Non-matching
3/8/2022,682,23,6,245,7,4,167,8,4,1480.02,567000,,Matching
3/9/2022,625,28,11,221,6,3,172,7,3,,,,Non-matching
3/10/2022,699,28,10,241,10,3,183,7,3,,,,Non-matching
3/11/2022,605,22,8,207,7,3,193,7,3,,,,Non-matching
3/12/2022,300,20,9,104,6,4,196,7,3,,,,Non-matching
3/13/2022,434,24,9,129,7,3,197,7,3,2977.65,1520000,,Matching
3/14/2022,901,34,15,328,7,3,211,7,3,,,,Non-matching
3/15/2022,848,29,10,313,8,1,220,7,3,1906.55,730000,,Matching
3/16/2022,872,24,9,275,5,1,228,7,3,,,,Non-matching
3/17/2022,753,29,4,246,9,1,229,7,2,,,,Non-matching
3/18/2022,803,33,6,238,8,2,233,7,2,,,,Non-matching
3/19/2022,448,22,5,132,5,3,237,7,2,,,,Non-matching
3/20/2022,654,25,8,211,11,2,249,8,2,3685.19,1700000,,Matching
3/21/2022,1311,26,3,399,9,2,259,8,2,,,,Non-matching
3/22/2022,1286,29,4,426,10,1,275,8,2,2693.01,986000,,Matching
3/23/2022,1269,22,4,403,6,0,294,8,2,,,,Non-matching
3/24/2022,1177,24,5,356,11,1,309,9,2,,,,Non-matching
3/25/2022,1095,39,5,333,10,0,323,9,1,,,,Non-matching
3/26/2022,679,25,6,230,4,1,337,9,1,,,,Non-matching
3/27/2022,777,22,6,268,8,3,345,8,1,809.62,332000,,Matching
3/28/2022,1512,32,5,437,7,2,350,8,1,,,,Non-matching
3/29/2022,1437,29,5,481,12,1,358,8,1,5022.61,2060000,,Matching
3/30/2022,1515,39,5,455,13,3,366,9,2,,,,Non-matching
3/31/2022,1509,43,3,447,8,1,379,9,2,,,,Non-matching
4/1/2022,1335,34,5,399,6,1,388,8,2,,,,Non-matching
4/2/2022,877,29,2,286,7,0,396,9,2,,,,Non-matching
4/3/2022,904,25,4,292,6,0,400,8,1,4606.16,1990000,,Matching
4/4/2022,2152,39,5,618,10,0,425,9,1,,,,Non-matching
4/5/2022,1975,49,4,629,24,2,447,11,1,9113.17,3940000,,Matching
4/6/2022,2096,43,3,649,16,1,474,11,1,,,,Non-matching
4/7/2022,2008,45,2,587,16,0,494,12,1,,,,Non-matching
4/8/2022,1885,47,3,550,14,1,516,13,1,,,,Non-matching
4/9/2022,1171,43,5,371,13,1,528,14,1,,,,Non-matching
4/10/2022,1190,43,8,343,7,2,535,14,1,7776.13,3280000,,Matching
4/11/2022,2593,59,2,765,15,0,556,15,1,,,,Non-matching
4/12/2022,2428,46,5,712,13,3,568,13,1,7188.88,2790000,,Matching
4/13/2022,2608,49,2,732,18,0,580,14,1,,,,Non-matching
4/14/2022,2305,49,8,638,15,2,587,14,1,,,,Non-matching
4/15/2022,2004,55,7,592,15,4,593,14,2,,,,Non-matching
4/16/2022,1204,40,3,350,12,1,590,14,2,,,,Non-matching
4/17/2022,966,50,4,289,9,1,583,14,2,5796.21,2190000,,Matching
4/18/2022,2349,58,3,663,20,2,568,15,2,,,,Non-matching
4/19/2022,2298,60,5,673,23,2,562,16,2,4819.03,3290000,This sample was analyzed in duplicate. The higher of the 2 results is reported,Matching
4/20/2022,2168,49,1,581,21,0,541,16,2,,,,Non-matching
4/21/2022,1998,62,5,614,13,3,537,16,2,,,,Non-matching
4/22/2022,1817,87,6,512,21,3,526,17,2,,,,Non-matching
4/23/2022,1410,57,3,462,15,2,542,17,2,,,,Non-matching
4/24/2022,1462,49,4,422,14,0,561,18,2,8430.07,3550000,,Matching
4/25/2022,2919,66,3,928,16,0,599,18,1,,,,Non-matching
4/26/2022,2944,70,7,828,13,2,621,16,1,10328.08,4180000,,Matching
4/27/2022,2790,90,5,831,26,1,657,17,2,,,,Non-matching
4/28/2022,2668,75,4,806,31,0,684,19,1,,,,Non-matching
4/29/2022,2787,77,3,829,19,0,729,19,1,,,,Non-matching
4/30/2022,1618,70,7,497,14,1,734,19,1,,,,Non-matching
5/1/2022,1876,62,4,564,19,2,755,20,1,6417.68,2630000,,Matching
5/2/2022,3892,68,5,1191,20,2,792,20,1,,,,Non-matching
5/3/2022,3776,92,5,1126,25,1,835,22,1,15729.42,7770000,This sample was analyzed in duplicate. The higher of the 2 results is reported,Matching
5/4/2022,3720,87,4,1116,29,0,876,22,1,,,,Non-matching
5/5/2022,3572,103,4,1079,23,1,915,21,1,,,,Non-matching
5/6/2022,3082,83,6,876,24,2,921,22,1,,,,Non-matching
5/7/2022,1854,77,7,523,22,3,925,23,2,,,,Non-matching
5/8/2022,1974,66,3,634,19,3,935,23,2,4737.1,2210000,,Matching
5/9/2022,4352,100,8,1265,27,5,946,24,2,,,,Non-matching
5/10/2022,4044,102,2,1333,23,0,975,24,2,9984.89,4430000,Lower PCR efficiency: 78%,Matching
5/11/2022,4083,102,11,1257,35,5,995,25,3,,,,Non-matching
5/12/2022,3994,99,9,1210,17,6,1014,24,3,,,,Non-matching
5/13/2022,3529,126,2,1078,43,1,1043,27,3,,,,Non-matching
